DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Tor & E York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Municipal Transit Bus (TTC)
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Morning,Bicycle
Eto York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Municipal Transit Bus (TTC)
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,Child,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,Senior,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,Motorcycle
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
N York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
N York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,NK,Arterial,Rain,Non-Fatal,Evening,Other
Scar,Adult,Arterial,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
N York,Senior,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Youth,Arterial,Rain,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Scar,Senior,Arterial,Rain,Non-Fatal,Morning,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Senior,Arterial,Clear,Non-Fatal,Afternoon,Other
N York,Senior,Collector,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,Youth,Collector,Clear,Non-Fatal,Evening,Bicycle
Scar,Child,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Child,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Tor & E York,Adult,Local,Clear,Non-Fatal,Morning,Other
Tor & E York,NK,Local,Clear,Non-Fatal,Morning,Other
Tor & E York,Senior,Local,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
